"","ADDRESS","ADDR_INDZONE","ADDR_NO_DESCRIPT","INDCAT","JOB","JOBCAT_DESCRIPT","LINK","NAME","OTHERS","PRODUCT","PROFILE"
"1","","","","","","","","","","",""
"1443","敦化南路一段205號16樓1605室","","台北市大安區","CRM諮詢顧問/忠誠行銷服務/會員計劃管理與運營/顧客數據挖掘/忠誠計劃管理系統平台軟件與運維/數據庫管理","專戶執行，顧問服務部 (Program Executive, Consulting Services)(台北）","行銷企劃人員@活動企劃人員@顧問人員","http://www.stormcrm.com/tw","STORM CRM Consulting Inc. 伺動顧客關係行銷顧問_伺動行銷科技股份有限公司","Qualifications:
‧ Excellent organizational and project management skills
‧ Excellent verbal and written communication skills
‧ Good presentation skill
‧ Able to work independently and under pressure to meet the deadline
‧ Basic  knowledge  in CRM/Direct marketing
‧ Candidate with more experience will be considered as senior position","STORM服務專案:
1. CRM 忠誠行銷顧問服務/忠誠行銷計畫執行
2. O2O/微信CRM解決方案
3. CRM 行銷活動自動化資訊服務
4. 消費者行為分析服務
5. 直效行銷、資料庫行銷、大數據行銷顧問諮詢服務

我們所規劃與運營的忠誠計畫：
‧ Jurlique茱莉蔻化妝品會員計劃(中國)
‧ CHJ潮宏基珠寶會員計劃(中國)
‧ TheBodyShop美體小舖LoveYourBody會員計劃(台灣)
‧ KissMe奇士美化妝品美人典會員計劃(台灣)
‧ 宏圖三胞會員計劃(中國)
‧ NOVO Concept(Toppy Group)NOVO潮人俱樂部(中國)
‧ L'Oreal 契爾氏Kiehl's集愛分享計劃 (臺灣) 
‧ P&G集團安娜蘇ANNA SUI魔女俱樂部(臺灣) 
‧ P&G集團ANNASUI My Dolly俱樂部(香港) 
‧ P&G集團安娜蘇 My Dolly俱樂部(中國
‧ Timberland VIP會員計劃(臺灣) 
‧ L'Oreal 碧兒泉 Biotherm In Touch! Club(臺灣) 
‧ L'Oreal 薇姿Vichy健康肌膚會員小組(臺灣) 
‧ HP經銷商e Loyalty計畫(臺灣)
‧ 中國石油化工Sino Pec積分計畫(中國)
‧ DHL洋基貨運DHLbonus program (臺灣) 
‧ 法國航空貴賓俱樂部(臺灣)
‧ 中國國際航空Air China國航常旅客計畫積分兌換系統 
‧ 中國東方航空China Eastern Airline京滬線常旅客提升計畫
‧ Johnson & Johnson Medical Life Scan會員計畫(臺灣)
‧ IKEA宜家家居資料分析專案(臺灣)
‧ 震達生技
‧ 味全生技健康食品會員俱樂部(臺灣)
‧ 統一藥品異位性皮膚炎之友俱樂部(臺灣)
‧ 中國信託信用卡e化直效平臺(臺灣)
‧ IBM Developer Works計畫(臺灣)
‧ 3M(臺灣)
‧ Mars艾芬寵物食品CRM項目(臺灣)","【聚焦大中華 誠就顧客心】

STORM為領先行業的顧客忠誠計畫與顧客關係管理（CRM）運營服務商。成立於1999年，STORM在大中華區提供品牌與企業CRM顧客關係行銷與忠誠計畫Loyalty Marketing的顧問諮詢與運營服務。 作為顧客忠誠行銷公司（CRM/loyalty Marketing Consulting Agency），STORM提供精准且聚焦的在地化專業產品與服務。不論是策略的建立到日常的運營服務，STORM提供了包含企業對於忠誠計畫、會員計畫、積分計畫完整的顧問服務以及CRM系統平臺，全方位滿足企業對於顧客忠誠管理的需求。

【來自全球500大企業客戶的信賴與肯定，運營超過60個忠誠運營計畫】

STORM擁有15年為大中華地區前500大企業服務的實戰經驗，啟動及運營包括L'Oreal萊雅蘭寇 （Lanc me）、契爾氏（Kiehl‘s ）、碧兒泉（Biotherm ）、薇姿（VICHY），P&G集團安娜蘇（ANNA　SUI）、P&G集團SKII、奇士美（Kiss Me）、茱莉蔻（Jurlique）、伊莉莎白雅頓Elizabeth Arden化妝品、Guerlain嬌蘭化妝品、嬌生（Johnson & Johnson）、The Body Shop美體小鋪、潮宏基珠寶（CHJ）、天柏嵐（Timberland）、DHL洋基貨運、宜家家俱（IKEA）、臺灣IBM、中國國際航空、中國東方航空、法國航空、宏圖三胞、NOVO百貨等忠誠行銷計畫活動。至今營運超過60個會員計畫，為客戶管理的顧客數超過千萬名會員。

【最堅強的服務團隊，擁有15年以上的專業實戰經驗，為品牌量身打造最佳忠誠運營計畫】

STORM的團隊是由三個子團隊所組成：《顧問服務部》、《行銷科技部》與《執行業務部》

《顧問服務部》：顧問服務部下分2個子部門, 分別為忠誠計畫管理與顧客智識與消費行為研究。

Program Manager：Program Manager的工作是將所管理的忠誠計畫當作一個business經營。 我們認為CRM忠誠計畫不只是一個行銷活動或機制，其本身就是一個品牌，有具體的經營目標、成長指標。我們的客戶將其品牌的CRM計畫交付我們運營與管理的時候， STORM的計畫經理人擔負了這個忠誠計畫品牌的所有經營管理工作，從年度營業目標規劃、預算規劃、日常行銷活動到團隊管理都是此一工作的基本技能。 我們對Program Manager的訓練與要求如同對他是一位總經理。

分析師：我們看待分析與研究人員如同一位藝術家。我們認為藝術家有3P特質，passion、patient、positive。 這個團隊是客戶的智庫，他們的日常工作就是用左手編寫研究方案，並用右手製造客戶的資料管理工具。這個工作需要你站在最高決策者的視角去看事情，因為是與頂尖客戶的決策者一起工作。這個工作不只是提供服務，這些優秀的客戶無時無刻無私的input我們最insight的行業經營技術，管理方法與心得，因為這樣我們才能提供最重大有用的發現，以便他們能發現問題或找到機會。

《科技服務部》：下分2個子部門, 分別為MarTech以及Solution

MarTech：來自於Marketing Technology的縮寫，這組有IT背景的行銷人需要知道科技怎麼<U+8AAC>明行銷工作，並具體幫客戶找到方法並提供方案。他同時很容易的就能將複雜的IT知識用日常的語言表達，使客戶容易瞭解科技如何使他們的事業更美好。新的科技發生時，他會主動的研究，並檢視所服務的客戶是否能因此而受惠。他並且極為專業的將客戶的行銷需求用IT的技術去實現並抱著高度的野心去超過客戶的要求。他同時轉身會將這些行銷的需求用IT的語言表達給Solution的engineers兄弟們, 並順利讓平臺或功能推出。

Solution：Marketing IT能力是其他行銷Agency或著SI/Software公司很難超越STORM的。我們的工程師非常瞭解行銷，並且能從IT的角度提供客戶諮詢。我們的LMP(loyalty marketing platform)受到中石化、國航、P&G、L’Oreal等世界頂端的公司採用。這套平臺的資料庫與客戶的ERP與POS整合後，能提供所有客戶建立顧客關係的自動化運營工作。我們的工程師充分浸泡在行銷工作中，他們通常比marketer各熟知各種行銷活動設計的知識與雷區。

《執行業務部》：下分2個主要服務，貴賓專線客服以及日常作業管理
執行業務的同仁處理我們所運營的會員計畫中非常繁雜的工作，也就是Last miles的工作。舉凡積分禮品兌換從採購、倉儲到物流以及顧客的諮詢來電都是由這組同仁負責的。"
"201","Ayala Avenue, Makati City","","菲律賓","線上遊戲","資料分析師 Data Analyst (PA-D)","電腦系統分析師@統計精算人員@資料庫管理人員","http://www.cpg-ltd.com","Capital Power Global Limited","專業知識/技能:
-大<U+5B66>以上學歷
-一年以上互聯網資料分析工作經驗。
-能熟練掌握並運用MS Office, MS Visio等相關文檔工具。
-熟悉Excel、R、SPSS等產品資料分析軟體， 熟悉GA或百度等資料分析／挖掘工具。 
-嚴密的邏輯思維能力，對數位敏感，熟練運用各種數學公式，具有較強的數學演算能力，能夠搭建數學模型進行數值演算。
-有較好的應變能力和溝通能力。具有敬業精神和團隊合作精神，做事細心，有條理，思維清晰敏捷，學習能力強，有較強的邏輯思維能力和主觀能動性。","線上遊戲與網站","Capital Power Global Limited (CPG)為世界級的線上遊戲公司之一，公司設立于菲律賓馬卡迪Makati(菲律賓國際商業中心區)，為菲律賓政府核准登記與營運的合法公司。CPG擁有多個線上遊戲網站，提供客戶最迅速及完善的服務品質。我們的專業來自於擁有領先的開發技術與國際級水準的諮詢團隊，並累積超過三十多年的實務經驗。"
"202","Ayala Avenue, Makati City","","菲律賓","線上遊戲","產品分析經理 Product Analysis Manager","產品管理師@產品事業處主管@軟體專案主管","http://www.cpg-ltd.com","Capital Power Global Limited","-大學以上學歷
-流利的中文與英文。
-五年以上互聯網行業的工作經驗，具備B2C行業的產品策劃、產品研發、市場調研、資料分析經驗。
-具有帶領和管理團隊的經驗。
-熟悉行業市場研究/分析、產品研究/分析的操作流程及工具。熟悉GA或百度等資料分析／挖掘工具。
-有較好的應變能力和溝通能力。具有敬業精神和團隊合作精神，做事細心，有條理，思維清晰敏捷，學習能力強，有較強的邏輯思維能力和主觀能動性。","線上遊戲與網站","Capital Power Global Limited (CPG)為世界級的線上遊戲公司之一，公司設立于菲律賓馬卡迪Makati(菲律賓國際商業中心區)，為菲律賓政府核准登記與營運的合法公司。CPG擁有多個線上遊戲網站，提供客戶最迅速及完善的服務品質。我們的專業來自於擁有領先的開發技術與國際級水準的諮詢團隊，並累積超過三十多年的實務經驗。"
"204","Ayala Avenue, Makati City","","菲律賓","線上遊戲","資深資料分析師 Senior Data Analyst (Sr. PA-D)","電腦系統分析師@統計精算人員@軟體相關專案管理師","http://www.cpg-ltd.com","Capital Power Global Limited","-大學以上學歷
-三年以上互聯網資料分析工作經驗。完整承擔過至少1個專案的數值框架搭建工作。
-能熟練掌握並運用MS Office, MS Visio等相關文檔工具。
-熟悉Excel、R、SPSS等產品資料分析軟體， 熟悉GA或百度等資料分析／挖掘工具。
-嚴密的邏輯思維能力，對數位敏感，熟練運用各種數學公式，具有較強的數學演算能力，能夠搭建數學模型進行數值演算","線上遊戲與網站","Capital Power Global Limited (CPG)為世界級的線上遊戲公司之一，公司設立于菲律賓馬卡迪Makati(菲律賓國際商業中心區)，為菲律賓政府核准登記與營運的合法公司。CPG擁有多個線上遊戲網站，提供客戶最迅速及完善的服務品質。我們的專業來自於擁有領先的開發技術與國際級水準的諮詢團隊，並累積超過三十多年的實務經驗。"
"203","Ayala Avenue, Makati City","","菲律賓","線上遊戲","產品研究專員 Product Research (PA-R)","產品管理師@其他專案管理師@軟體相關專案管理師","http://www.cpg-ltd.com","Capital Power Global Limited","-專科以上學歷。
-一年以上互聯網／軟體行業工作經驗。
-能熟練掌握並運用MS Office, MS Visio等相關文檔工具。
-熟悉Excel、R、SPSS等產品資料分析軟體的配置及使用。
-有較好的應變能力和溝通能力。具有敬業精神和團隊合作精神，做事細心，有條理，思維清晰敏捷，學習能力強，有較強的邏輯思維能力和主觀能動性。","線上遊戲與網站","Capital Power Global Limited (CPG)為世界級的線上遊戲公司之一，公司設立于菲律賓馬卡迪Makati(菲律賓國際商業中心區)，為菲律賓政府核准登記與營運的合法公司。CPG擁有多個線上遊戲網站，提供客戶最迅速及完善的服務品質。我們的專業來自於擁有領先的開發技術與國際級水準的諮詢團隊，並累積超過三十多年的實務經驗。"
"205","Ayala Avenue, Makati City","","菲律賓","線上遊戲","資深產品研究專員 Senior Product Research (Sr. PA-R)","產品企劃開發人員@產品管理師@軟體相關專案管理師","http://www.cpg-ltd.com","Capital Power Global Limited","-大學以上學歷。
-三年以上互聯網／軟體行業工作經驗。
-能熟練掌握並運用MS Office, MS Visio等相關文檔工具。
-熟悉Excel、R、SPSS等產品資料分析軟體，熟悉GA或百度等資料分析、挖掘工具，能獨立進行相關資料分析。 
-有較好的應變能力和溝通能力。具有敬業精神和團隊合作精神，做事細心，有條理，思維清晰敏捷，學習能力強，有較強的邏輯思維能力和主觀能動性","線上遊戲與網站","Capital Power Global Limited (CPG)為世界級的線上遊戲公司之一，公司設立于菲律賓馬卡迪Makati(菲律賓國際商業中心區)，為菲律賓政府核准登記與營運的合法公司。CPG擁有多個線上遊戲網站，提供客戶最迅速及完善的服務品質。我們的專業來自於擁有領先的開發技術與國際級水準的諮詢團隊，並累積超過三十多年的實務經驗。"
"719","堤頂大道二段407巷22號2樓","","台北市內湖區","IC 設計業","Data Engineer_MV5380","軟體設計工程師@演算法開發工程師@類目","www.marvell.com","Marvell_邁威爾科技有限公司","1.BS degree in Computer Science, Math
2.Good and solid background on computer architecture
3.Knowledge of data mining and machine learning
4.Strong problem solving, critical thinking, and analytical skills
5.Good personal communication skill and team collaboration
6.Achieve mastery through a comprehensive study of the computer science is plus
Has experience one of below filed is plus :
- Experience with data structures and algorithms for data analytics
- Experience with databases (NoSQL and relational DB)
- Experience with R/Mahout or other data analysis packages","Storage Solutions: Marvell is the market leader in data storage silicon solutions spanning consumer, mobile, desktop and enterprise market segments. The company's storage solutions enable customers to engineer high-volume products for hard disk drives, tape drives, optical disks, and solid state drives, as well as host adaptors and bridges. 

Mobile and Wireless: From laptops to smart phones to gaming devices and from the home to the office to a hotel room: wireless and mobile technologies now touch nearly every facet of our lives. Marvell offers industry leading power management for extended battery life with exceptional ease of use and security. Marvell solutions power the complete value chain of mobile and wireless devices, providing full-featured, media-rich experiences and robust services to everyone from the business user to the consumer. 

Networking: Marvell networking products are designed for the utmost reliability and resiliency. From robust enterprise networking applications to consumer and small business solutions Marvell's networking products seamlessly power every point in the networking ecosystem and ensure that 'it just works.'

Consumer Solutions: From industry-leading storage, networking, wireless and mobile technologies, to award-winning video processing products, Marvell solutions power some of today's most cutting-edge consumer devices. Combined with a history of innovations in microprocessor architecture that have enabled high integration and scalability, Marvell technology empowers consumers to manage and consume content at home or on the go, without compromising performance. 

Green Technology: Marvell is committed to developing green technology as both a supplier and user of technology to save energy and to help reduce our collective carbon footprint. With our digital Power Factor Correction (PFC) controllers, Marvell is using its power management expertise to take the lead in energy-efficient technology for AC/DC power supplies and low power LED & CFL lighting solutions. 

Technology Advantage
Breakthrough technology and innovative products, combined with dedication to customers and the consistent delivery of high-quality products, are the foundation for Marvell's growth and leadership in today's highly competitive semiconductor industry. Marvell brings together worldclass engineering talent and exhibits its technology leadership through:
. Proprietary DSP, mixed-signal IP portfolio 
. Marvell SheevaTM CPU technology for industry-leading performance and power optimization 
. Low power, complex system-on-chip (SoC) design techniques 
. System-level and software expertise 

Sheeva Technology
The Marvell Sheeva embedded Central Processing Unit (CPU) technology is at the heart of a broad range of applications - from mobile devices and consumer electronics to enterprise IT infrastructure equipment. Optimized for high performance and low power consumption, Marvell Sheeva technology is embedded in tightly integrated system-onchip (SoC) solutions that go into a broad range of products spanning mobile, consumer and enterprise infrastructure applications including smart phones, disk drives, routers and switches - and more.
Building upon Marvell's deep expertise in embedded CPU technology, including the prior generation of Feroceon？ CPUs as well as Marvell's acquisition of Intel's XScale？ technology, Marvell Sheeva embedded CPU technology is highly scalable, in terms of die size, performance and power consumption, depending on the needs of a specific application.
By leveraging the Sheeva cores across multiple applications, Marvell achieves economies of scale and provides cost effective solutions. Marvell's Sheeva CPU technology is fully compliant with the ARM instruction set, which is supported by a global ecosystem of developers and engineers.","Marvell (NASDAQ: MRVL) is a global leader in providing complete silicon solutions and KinomaR software enabling the “Smart Life and Smart Lifestyle.”  From mobile communications to storage, Internet of Things (IoT), cloud infrastructure, digital entertainment and in-home content delivery, Marvell’s diverse product portfolio aligns complete platform designs with industry-leading performance, security, reliability and efficiency. At the core of the world’s most powerful consumer, network and enterprise systems, Marvell empowers partners and their customers to always stand at the forefront of innovation, performance and mass appeal. By providing people around the world with mobility and ease of access to services adding value to their social, private and work lives, Marvell is committed to enhancing the human experience.

As used in this release, the term “Marvell” refers to Marvell Technology Group Ltd. and its subsidiaries. For more information, please visit www.Marvell.com."
"700","堤頂大道二段407巷22號2樓","","台北市內湖區","IC 設計業","ASIC Design Engineer 數位電路設計工程師_MV5380","數位IC設計工程師@電子工程師@類目","www.marvell.com","Marvell_邁威爾科技有限公司","1. Requires an advanced degree (MS or PhD) in EE.
2. 1+ years logic design with basic verification experience is preferred.
3. Strong knowledge in 32-bit superscalar processor architecture/microarchitecture.
4. Familiar with ASIC design, flow, methodologies, and common CAD tools usage (Example: DesignCompiler, PowerArtist, IEV, Verdi, and so on)
5. Proficient in RTL coding, logic synthesis, timing closure.
6. Experience in ARM assembly programming for functional-block test bench development.
7. Proficient in UNIX shell/Perl/Python script languages for flow automation.
8. Familiar with Xilinx FPGA architecture, experienced in implement design, timing constrain, timing report analysis is a plus.","Storage Solutions: Marvell is the market leader in data storage silicon solutions spanning consumer, mobile, desktop and enterprise market segments. The company's storage solutions enable customers to engineer high-volume products for hard disk drives, tape drives, optical disks, and solid state drives, as well as host adaptors and bridges. 

Mobile and Wireless: From laptops to smart phones to gaming devices and from the home to the office to a hotel room: wireless and mobile technologies now touch nearly every facet of our lives. Marvell offers industry leading power management for extended battery life with exceptional ease of use and security. Marvell solutions power the complete value chain of mobile and wireless devices, providing full-featured, media-rich experiences and robust services to everyone from the business user to the consumer. 

Networking: Marvell networking products are designed for the utmost reliability and resiliency. From robust enterprise networking applications to consumer and small business solutions Marvell's networking products seamlessly power every point in the networking ecosystem and ensure that 'it just works.'

Consumer Solutions: From industry-leading storage, networking, wireless and mobile technologies, to award-winning video processing products, Marvell solutions power some of today's most cutting-edge consumer devices. Combined with a history of innovations in microprocessor architecture that have enabled high integration and scalability, Marvell technology empowers consumers to manage and consume content at home or on the go, without compromising performance. 

Green Technology: Marvell is committed to developing green technology as both a supplier and user of technology to save energy and to help reduce our collective carbon footprint. With our digital Power Factor Correction (PFC) controllers, Marvell is using its power management expertise to take the lead in energy-efficient technology for AC/DC power supplies and low power LED & CFL lighting solutions. 

Technology Advantage
Breakthrough technology and innovative products, combined with dedication to customers and the consistent delivery of high-quality products, are the foundation for Marvell's growth and leadership in today's highly competitive semiconductor industry. Marvell brings together worldclass engineering talent and exhibits its technology leadership through:
. Proprietary DSP, mixed-signal IP portfolio 
. Marvell SheevaTM CPU technology for industry-leading performance and power optimization 
. Low power, complex system-on-chip (SoC) design techniques 
. System-level and software expertise 

Sheeva Technology
The Marvell Sheeva embedded Central Processing Unit (CPU) technology is at the heart of a broad range of applications - from mobile devices and consumer electronics to enterprise IT infrastructure equipment. Optimized for high performance and low power consumption, Marvell Sheeva technology is embedded in tightly integrated system-onchip (SoC) solutions that go into a broad range of products spanning mobile, consumer and enterprise infrastructure applications including smart phones, disk drives, routers and switches - and more.
Building upon Marvell's deep expertise in embedded CPU technology, including the prior generation of Feroceon？ CPUs as well as Marvell's acquisition of Intel's XScale？ technology, Marvell Sheeva embedded CPU technology is highly scalable, in terms of die size, performance and power consumption, depending on the needs of a specific application.
By leveraging the Sheeva cores across multiple applications, Marvell achieves economies of scale and provides cost effective solutions. Marvell's Sheeva CPU technology is fully compliant with the ARM instruction set, which is supported by a global ecosystem of developers and engineers.","Marvell (NASDAQ: MRVL) is a global leader in providing complete silicon solutions and KinomaR software enabling the “Smart Life and Smart Lifestyle.”  From mobile communications to storage, Internet of Things (IoT), cloud infrastructure, digital entertainment and in-home content delivery, Marvell’s diverse product portfolio aligns complete platform designs with industry-leading performance, security, reliability and efficiency. At the core of the world’s most powerful consumer, network and enterprise systems, Marvell empowers partners and their customers to always stand at the forefront of innovation, performance and mass appeal. By providing people around the world with mobility and ease of access to services adding value to their social, private and work lives, Marvell is committed to enhancing the human experience.

As used in this release, the term “Marvell” refers to Marvell Technology Group Ltd. and its subsidiaries. For more information, please visit www.Marvell.com."
"702","堤頂大道二段407巷22號2樓","","台北市內湖區","IC 設計業","(Sr.) Software Engineer_MV5380","韌體設計工程師@軟體設計工程師@類目","www.marvell.com","Marvell_邁威爾科技有限公司","1.BS degree above
2.Major in CSIE/EE is preferred
3.Good and solid background on computer architecture
4.Good understanding on ARM architecture
5.Good programming skill in C and Assembly (ARM is preferred)
6.Good personal communication skill and team collaboration
7.Achieve mastery through a comprehensive study of the computer science is plus
8.Understanding well on system software like compiler, linker, loader, debugger, so on, is plus
9.Familiar with one of script language like Perl, BASH, Tcl, etc. is plus
Has experience one of below filed is plus and you are the one we are looking for:


1.Familiar with one of CPU processor micro-architecture like x86, Power PC, Cell, MIPS, etc. is plus
2.Familiar at least one of embedded OS porting and development (Necleus, Linux, ThreadX, Windows Embedded/WinCE, Symbian, QNX, NetBSD, etc.)
3.Knowledge in computer architecture, hands-on project experience in processor design and/or verificatio
4.Knowledge with ARM v7 architecture and/or AXI4/ACE protocol will be a great plus
5.Experience and knowledge in memory sub-system, multi-processor sub-system will be a great plus,
6.Experience in FPGA prototyping and debugging is a plus
7.Experience on software analysis and optimization is plus
8.Experience in Processor/CPU Verification is plus
9.Experience in one of OpenGL/GLES, Open VG, Game engine, X-windows DRI and Kernel mode DRM is plus
10.Experience in OpenCL and CUDA is plus
11.Experience in DSP is plus
12.Experience in GPU device drivers development for Linux, WinCE, and Google Chrome/Chromium is plus
13.GPU S/W Integration with various middleware (Adobe Flash, Google Chrome/Chromium, X-windows DRI driver, so on) is plus
14.Experience in development of Android system, Browser, Webkit, System integration, Multi-Media middleware is plus
15.Experience in development of GCC, LLVM, Java VM, JSC VM, etc. is plus
16.Familiar co-working/debugging with Hardware engineer is plus
17.Familiar with architecture/CPU modeling is plus
18.Familiar with simulator and emulator development is plus
19.Familiar with System-C or C++ is plus
20.Familiar with one of HDL verilog, system verilog and VHDL, is optional
21.Experience in logical synthesis and timing analysis, i.e. using synthesis tools like DCT/ICC etc
22.Fluent communication in both Chinese and English is an advantage","Storage Solutions: Marvell is the market leader in data storage silicon solutions spanning consumer, mobile, desktop and enterprise market segments. The company's storage solutions enable customers to engineer high-volume products for hard disk drives, tape drives, optical disks, and solid state drives, as well as host adaptors and bridges. 

Mobile and Wireless: From laptops to smart phones to gaming devices and from the home to the office to a hotel room: wireless and mobile technologies now touch nearly every facet of our lives. Marvell offers industry leading power management for extended battery life with exceptional ease of use and security. Marvell solutions power the complete value chain of mobile and wireless devices, providing full-featured, media-rich experiences and robust services to everyone from the business user to the consumer. 

Networking: Marvell networking products are designed for the utmost reliability and resiliency. From robust enterprise networking applications to consumer and small business solutions Marvell's networking products seamlessly power every point in the networking ecosystem and ensure that 'it just works.'

Consumer Solutions: From industry-leading storage, networking, wireless and mobile technologies, to award-winning video processing products, Marvell solutions power some of today's most cutting-edge consumer devices. Combined with a history of innovations in microprocessor architecture that have enabled high integration and scalability, Marvell technology empowers consumers to manage and consume content at home or on the go, without compromising performance. 

Green Technology: Marvell is committed to developing green technology as both a supplier and user of technology to save energy and to help reduce our collective carbon footprint. With our digital Power Factor Correction (PFC) controllers, Marvell is using its power management expertise to take the lead in energy-efficient technology for AC/DC power supplies and low power LED & CFL lighting solutions. 

Technology Advantage
Breakthrough technology and innovative products, combined with dedication to customers and the consistent delivery of high-quality products, are the foundation for Marvell's growth and leadership in today's highly competitive semiconductor industry. Marvell brings together worldclass engineering talent and exhibits its technology leadership through:
. Proprietary DSP, mixed-signal IP portfolio 
. Marvell SheevaTM CPU technology for industry-leading performance and power optimization 
. Low power, complex system-on-chip (SoC) design techniques 
. System-level and software expertise 

Sheeva Technology
The Marvell Sheeva embedded Central Processing Unit (CPU) technology is at the heart of a broad range of applications - from mobile devices and consumer electronics to enterprise IT infrastructure equipment. Optimized for high performance and low power consumption, Marvell Sheeva technology is embedded in tightly integrated system-onchip (SoC) solutions that go into a broad range of products spanning mobile, consumer and enterprise infrastructure applications including smart phones, disk drives, routers and switches - and more.
Building upon Marvell's deep expertise in embedded CPU technology, including the prior generation of Feroceon？ CPUs as well as Marvell's acquisition of Intel's XScale？ technology, Marvell Sheeva embedded CPU technology is highly scalable, in terms of die size, performance and power consumption, depending on the needs of a specific application.
By leveraging the Sheeva cores across multiple applications, Marvell achieves economies of scale and provides cost effective solutions. Marvell's Sheeva CPU technology is fully compliant with the ARM instruction set, which is supported by a global ecosystem of developers and engineers.","Marvell (NASDAQ: MRVL) is a global leader in providing complete silicon solutions and KinomaR software enabling the “Smart Life and Smart Lifestyle.”  From mobile communications to storage, Internet of Things (IoT), cloud infrastructure, digital entertainment and in-home content delivery, Marvell’s diverse product portfolio aligns complete platform designs with industry-leading performance, security, reliability and efficiency. At the core of the world’s most powerful consumer, network and enterprise systems, Marvell empowers partners and their customers to always stand at the forefront of innovation, performance and mass appeal. By providing people around the world with mobility and ease of access to services adding value to their social, private and work lives, Marvell is committed to enhancing the human experience.

As used in this release, the term “Marvell” refers to Marvell Technology Group Ltd. and its subsidiaries. For more information, please visit www.Marvell.com."
